State,Total Cases,Total Death,Death_100k,CasesInLast7Days,RatePer100000,total_test,totalTestResults,State of emergency,Stay at home/ shelter in place,End/relax stay at home/shelter in place,Closed non-essential businesses,Began to reopen businesses statewide,Mandate face mask use by employees in public-facing businesses,Weekly unemployment insurance maximum amount (dollars),Population density per square miles,Population 2018,Percent living under the federal poverty line (2018),Percent at risk for serious illness due to COVID,All-cause deaths 2018,Children 0-18,Adults 19-25,Adults 26-34,Adults 35-54,Adults 55-64,65+
Florida,197076,3731,17.5,66984,925.3,19144,2200199,3/9/2020,4/3/2020,5/18/2020,0,5/18/2020,5/11/2020,275,323.9,21299325,13.6,42.1,205426,0.21,0.08,0.12,0.25,0.14,0.21
Georgia,95516,2860,27.2,20531,908,823117,949185,3/14/2020,4/3/2020,5/1/2020,0,5/1/2020,4/27/2020,365,177.02,10519475,14.3,36.2,85202,0.26,0.09,0.12,0.27,0.12,0.14
Hawaii,939,19,1.3,137,66.1,77155,84325,3/4/2020,3/25/2020,0,3/25/2020,5/7/2020,4/16/2020,648,129.94,1420491,8.8,39.1,11415,0.23,0.07,0.12,0.25,0.13,0.19
Idaho,7733,93,5.3,2414,440.8,86345,104266,3/13/2020,3/25/2020,5/1/2020,3/25/2020,5/1/2020,0,448,20.99,1754208,11.8,36.2,14261,0.27,0.09,0.12,0.24,0.12,0.16
Illinois,148373,7230,56.7,6243,1164.5,1572949,1762828,3/9/2020,3/21/2020,5/29/2020,3/21/2020,5/29/2020,5/1/2020,484,220,12741080,12.1,36.2,110022,0.24,0.09,0.12,0.26,0.13,0.15
Indiana,48008,2693,40.2,3433,717.4,476519,521722,3/6/2020,3/25/2020,5/18/2020,3/25/2020,5/18/2020,5/1/2020,390,183.74,6691878,13.1,39.9,65693,0.25,0.09,0.12,0.25,0.13,0.16
Iowa,31353,721,22.8,3341,993.4,300845,332472,3/9/2020,0,0,3/26/2020,5/15/2020,0,481,56.09,3156145,11.2,36.9,30367,0.25,0.09,0.12,0.24,0.13,0.17
Kansas,15919,277,9.5,2381,546.8,176725,191561,3/12/2020,3/30/2020,5/4/2020,3/30/2020,5/4/2020,0,488,35.39,2911505,12,38,27537,0.26,0.09,0.12,0.24,0.13,0.16
Kentucky,16376,585,13.1,1209,366.5,,,3/6/2020,0,0,3/26/2020,5/11/2020,5/11/2020,552,110.58,4468402,16.9,43.6,48707,0.24,0.09,0.12,0.26,0.14,0.16
Louisiana,65226,3288,70.6,10457,1399.7,704637,802454,3/11/2020,3/23/2020,5/15/2020,3/23/2020,5/1/2020,5/1/2020,247,88.97,4659978,18.6,42.1,46048,0.25,0.09,0.12,0.25,0.13,0.15
