party2016,party2016_votepercent,State,Total Cases,Total Death,Death_100k,CasesInLast7Days,RatePer100000,totalTestResults,infection rate,State of emergency,soe_to_sip,Stay at home/ shelter in place,sip_binary,sip_start_end,End/relax stay at home/shelter in place,soe_biz_close,Closed non-essential businesses,soe_biz_close,biz_close_binary,biz_close_open,Began to reopen businesses statewide,Mandate face mask use by employees in public-facing businesses,soe_face_mask,face_mask_binary,Weekly unemployment insurance maximum amount (dollars),Population density per square miles,Population 2018,Percent living under the federal poverty line (2018),Percent at risk for serious illness due to COVID,All-cause deaths 2018,Children 0-18,Adults 19-25,Adults 26-34,Adults 35-54,Adults 55-64,65+
Democrat,0.4645,Minnesota,38569,1511,26.9,3020,687.4,674015,0.06,3/13/2020,15,3/28/2020,1,51,5/18/2020,15,3/28/2020,15,1,30,4/27/2020,6/1/2020,80,1,462,64.54,5611179,9.6,33.9,44745,0.24,0.08,0.13,0.25,0.14,0.16
Republican,0.5794,Mississippi,31257,1114,37.3,5365,1046.6,310141,0.10,3/14/2020,20,4/3/2020,1,24,4/27/2020,20,4/3/2020,20,1,24,4/27/2020,5/7/2020,54,1,235,61.66,2986530,19.7,42.5,32301,0.26,0.09,0.11,0.25,0.13,0.16
Republican,0.5677,Missouri,23436,1028,16.8,3175,382.5,419509,0.06,3/13/2020,24,4/6/2020,1,28,5/4/2020,0,0,0,0,0,5/4/2020,0,0,0,320,87.89,6126452,13.2,40.5,63117,0.24,0.09,0.12,0.25,0.14,0.17
Republican,0.5647,Montana,1249,23,2.2,397,117.6,100106,0.01,3/12/2020,16,3/28/2020,1,29,4/26/2020,16,3/28/2020,16,1,30,4/27/2020,0,0,0,552,7.22,1062305,13,39,9992,0.23,0.08,0.11,0.24,0.15,0.19
Republican,0.5875,Nebraska,19929,284,14.7,1154,1033,189928,0.10,3/13/2020,0,0,0,0,0,0,0,0,0,0,5/18/2020,5/4/2020,52,1,440,24.94,1929268,11,36.6,16904,0.26,0.09,0.12,0.25,0.13,0.16
Democrat,0.4792,Nevada,22646,557,18.4,6070,746.3,307697,0.07,3/12/2020,19,3/31/2020,1,39,5/9/2020,9,3/21/2020,9,1,49,5/9/2020,5/9/2020,58,1,469,27.44,3034392,12.9,36.1,24715,0.24,0.08,0.13,0.27,0.13,0.16
Democrat,0.4683,New Hampshire,5897,381,28.1,226,434.7,123749,0.05,3/13/2020,15,3/28/2020,1,80,6/16/2020,15,3/28/2020,15,1,44,5/11/2020,5/1/2020,49,1,427,145.09,1356458,7.6,40.5,12774,0.2,0.08,0.11,0.26,0.16,0.18
Democrat,0.5545,New Jersey,173402,15211,170.7,2529,1946.5,1534640,0.11,3/9/2020,12,3/21/2020,1,80,6/9/2020,12,3/21/2020,12,1,58,5/18/2020,4/8/2020,30,1,713,1021.27,8908520,9.5,34.6,75765,0.23,0.08,0.11,0.27,0.14,0.16
Democrat,0.4826,New Mexico,13256,513,24.5,1637,632.6,372288,0.04,3/11/2020,13,3/24/2020,1,109,0,13,3/24/2020,13,1,52,5/15/2020,5/6/2020,56,1,511,17.23,2095428,19.5,39.4,19007,0.24,0.09,0.12,0.24,0.13,0.18
Democrat,0.5614,New York,398828,31906,354.3,5100,4220.4,4233803,0.09,3/7/2020,15,3/22/2020,1,111,0,15,3/22/2020,15,1,54,5/15/2020,4/17/2020,41,1,504,358.21,19542209,13.6,36.9,157183,0.22,0.09,0.13,0.26,0.14,0.16
Republican,0.4983,North Carolina,72983,1396,13.4,12446,702.9,1036838,0.07,3/10/2020,20,3/30/2020,1,53,5/22/2020,20,3/30/2020,20,1,39,5/8/2020,6/26/2020,108,1,350,192.94,10383620,14,39,93885,0.24,0.08,0.12,0.26,0.13,0.16
Republican,0.6296,North Dakota,3816,80,10.5,358,502.1,113128,0.03,3/13/2020,0,0,0,0,0,0,0,0,0,0,5/1/2020,4/28/2020,46,1,618,10.75,760077,10.7,34.6,6445,0.24,0.11,0.14,0.23,0.13,0.15
Republican,0.5169,Ohio,57151,2911,24.9,7696,488.9,868762,0.07,3/9/2020,17,5/20/2020,1,49,5/20/2020,15,3/24/2020,15,1,41,5/4/2020,4/29/2020,51,1,480,260.77,11689442,13.9,39.8,124264,,0.09,,0.25,,0.17
Republican,0.6532,Oklahoma,15776,416,10.6,3409,400.1,364717,0.04,3/15/2020,8,4/1/2020,1,0,0,17,4/1/2020,17,1,23,4/24/2020,0,0,0,539,56.41,3943079,15.6,40.8,40933,0.26,0.09,0.13,0.24,0.13,0.16
Democrat,0.5007,Oregon,10230,215,5.1,2136,244.1,264201,0.04,3/8/2020,15,3/23/2020,1,88,6/19/2020,0,0,0,0,0,5/15/2020,5/9/2020,62,1,648,42.6,4190713,12.6,39.8,36187,0.22,0.08,0.13,0.26,0.13,0.18
Republican,0.4858,Pennsylvania,90304,6754,52.7,4808,705.1,824700,0.11,3/6/2020,26,4/1/2020,1,65,6/5/2020,13,3/19/2020,13,1,78,6/5/2020,4/19/2020,44,1,572,278.09,12807060,12.2,39.8,134702,0.22,0.08,0.12,0.25,0.14,0.18
Democrat,0.5441,Rhode Island,16991,960,90.8,330,1607,250954,0.07,3/9/2020,19,3/28/2020,1,42,5/9/2020,21,3/30/2020,21,1,40,5/9/2020,4/18/2020,40,1,190,684.35,1057315,12.9,38.3,10083,0.2,0.09,0.13,0.26,0.15,0.17
Republican,0.5494,South Carolina,44847,820,16.1,12908,882.1,430809,0.10,3/13/2020,25,4/7/2020,1,27,5/4/2020,19,4/1/2020,19,1,19,4/20/2020,0,0,0,326,158.78,5084127,15.3,41.4,50640,0.23,0.09,0.11,0.25,0.14,0.18
Republican,0.6153,South Dakota,7063,97,11,437,800.6,84003,0.08,3/13/2020,10,3/23/2020,1,36,4/28/2020,0,0,0,0,0,0,0,0,0,414,11.44,882235,13.1,35.3,7971,0.26,0.09,0.11,0.24,0.14,0.16
Republican,0.6072,Tennessee,51431,646,9.5,11259,759.7,896166,0.06,3/12/2020,21,4/2/2020,1,29,5/1/2020,20,4/1/2020,20,1,30,5/1/2020,0,0,0,275,160.64,6770010,15.3,41.6,71078,0.24,0.09,0.12,0.26,0.13,0.16
Republican,0.5223,Texas,195239,2637,9.2,51868,680.2,2133457,0.09,3/13/2020,18,3/31/2020,1,30,4/30/2020,18,3/31/2020,18,1,31,5/1/2020,5/8/2020,56,1,521,106.86,28701845,14.9,34.8,202211,0.27,0.09,0.13,0.26,0.11,0.13
Republican,0.4554,Utah,25500,185,5.9,4514,806.7,371308,0.07,3/6/2020,21,3/27/2020,1,35,5/1/2020,0,0,0,0,0,5/1/2020,4/10/2020,35,1,580,37.23,3161105,9,30,18354,0.31,0.11,0.13,0.24,0.1,0.11
Democrat,0.5572,Vermont,1251,56,8.9,51,199.7,70024,0.02,3/13/2020,12,3/25/2020,1,51,5/15/2020,12,3/25/2020,12,1,33,4/27/2020,4/17/2020,35,1,513,65.13,626299,11,39.1,6027,0.19,0.08,0.11,0.25,0.16,0.2
Democrat,0.4975,Virginia,66102,1853,21.8,4366,776.1,709355,0.09,3/12/2020,18,3/30/2020,1,60,5/29/2020,0,0,0,0,0,5/29/2020,5/29/2020,78,1,378,199.13,8517685,10.7,35.9,69359,0.24,0.09,0.12,0.26,0.13,0.16
Democrat,0.5254,Washington,35898,1359,18,4494,476.4,607276,0.06,2/29/2020,23,3/23/2020,1,70,6/1/2020,25,3/25/2020,25,1,41,5/5/2020,5/4/2020,65,1,790,105.69,7535591,10.3,35.1,56877,0.23,0.08,0.14,0.26,0.13,0.16
Republican,0.6863,West Virginia,3335,95,5.3,553,184.7,184821,0.02,3/16/2020,8,3/24/2020,1,41,5/4/2020,8,3/24/2020,8,1,41,5/4/2020,5/4/2020,49,1,424,74.53,1805832,17.8,49.3,23478,0.21,0.08,0.11,0.25,0.15,0.2
Republican,0.4722,Wisconsin,34740,803,13.8,4513,597.6,618851,0.06,3/12/2020,13,3/25/2020,1,49,5/13/2020,13,3/25/2020,13,1,47,5/11/2020,0,0,0,370,88.76,5813568,11,36.5,53684,0.23,0.09,0.11,0.26,0.14,0.17
Republican,0.674,Wyoming,1634,20,3.5,242,282.8,35327,0.05,3/13/2020,0,0,0,0,0,0,0,0,0,0,5/1/2020,5/1/2020,49,1,508,5.91,577737,11.1,36.4,5070,0.24,0.08,0.12,0.24,0.14,0.17
